threshold,event_recall,false_alarm_rate_per_day,n_events,n_detected_events,n_alert_episodes,n_false_alarm_episodes,valid_exposure_hours,far_feasible,in_stability_region
0.88,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.89,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.9,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.91,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.92,0.0967741935483871,0.0018552158620956207,31,3,5,2,25873,True,False
0.93,0.0967741935483871,0.0009276079310478104,31,3,4,1,25873,True,False
0.94,0.0967741935483871,0.0009276079310478104,31,3,4,1,25873,True,False
0.95,0.0967741935483871,0.0009276079310478104,31,3,4,1,25873,True,False
0.96,0.0967741935483871,0.0009276079310478104,31,3,4,1,25873,True,False
0.97,0.06451612903225806,0.0009276079310478104,31,2,3,1,25873,True,False
0.98,0.0,0.0,31,0,0,0,25873,True,False
0.99,0.0,0.0,31,0,0,0,25873,True,False
